Feature,Importance
num__Monthly_Income,0.11724236765587678
num__Training_Hours_Last_Year,0.08721645430021406
num__Hourly_Rate,0.08368990309611445
num__Distance_From_Home,0.07246376822277446
num__Age,0.06988721749743411
num__Average_Hours_Worked_Per_Week,0.06549670356751573
num__Years_at_Company,0.06180142496158776
num__Absenteeism,0.05285222552021305
num__Years_in_Current_Role,0.04406841907932962
num__Years_Since_Last_Promotion,0.038593529991319306
num__Project_Count,0.038218326049386256
num__Job_Level,0.027735808159222258
num__Number_of_Companies_Worked,0.025137919293045798
num__Job_Satisfaction,0.02279589271429834
num__Job_Involvement,0.021178487939495255
num__Relationship_with_Manager,0.02027756723441733
num__Performance_Rating,0.01949582172847992
num__Work_Environment_Satisfaction,0.019346119593010982
num__Work_Life_Balance,0.018803619266041113
cat__Marital_Status_Divorced,0.007985468613731485
cat__Job_Role_Manager,0.007461354055313635
cat__Department_Sales,0.007441411128726583
cat__Job_Role_Assistant,0.007072396591126684
cat__Marital_Status_Married,0.006818865886908846
cat__Department_Marketing,0.006779959640356076
cat__Job_Role_Executive,0.0065873848924950275
cat__Department_Finance,0.006428674989983047
cat__Marital_Status_Single,0.005997187747908959
cat__Job_Role_Analyst,0.00573356196456384
cat__Department_IT,0.005546911281808211
cat__Department_HR,0.005375154776648222
cat__Overtime_Yes,0.004164408270534279
cat__Gender_Male,0.00405014427018377
cat__Gender_Female,0.003778679316136378
cat__Overtime_No,0.0024768607037984323
